NAME,LATITUDE,LONGITUDE,AMOUNT
A T STILL UNIVERSITY OF HEALTH SCIENCES,40.1936573,-92.58933533,0
AANIIIH NAKODA COLLEGE,48.48416977,-108.7579012,0
ABC BEAUTY ACADEMY,32.92981011,-96.68440494,0
ABCO TECHNOLOGY,33.932121,-118.369774,0
ABCOTT INSTITUTE,42.44632684,-83.21061698,0
ABDILL CAREER COLLEGE INC,42.32812454,-122.863083,0
ABILENE CHRISTIAN UNIVERSITY,32.46894277,-99.70979708,0
ABINGTON MEMORIAL HOSPITAL DIXON SCHOOL OF NURSING,40.16214806,-75.13017731,0
ABRAHAM BALDWIN AGRICULTURAL COLLEGE,31.48188947,-83.52828134,0
ABRAHAM LINCOLN UNIVERSITY,34.06099,-118.301181,0
ACADEMIA SERRANT INC,18.00976532,-66.61420498,0
ACADEMY COLLEGE,44.855802,-93.299885,0
ACADEMY DI CAPELLI -,41.77121655,-72.64219988,0
ACADEMY DI CAPELLI-SCHOOL OF COSMETOLOGY,41.48990526,-72.80689731,0
ACADEMY DI FIRENZE,42.72390485,-114.5198581,0
ACADEMY FOR CAREERS AND TECHNOLOGY,34.1864749,-79.34012189,0
ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,29.65007501,-82.32199384,0
ACADEMY FOR JEWISH RELIGION-CALIFORNIA,34.070281,-118.438495,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,26.70653003,-80.12149737,0
ACADEMY FOR SALON PROFESSIONALS-NORTHRIDGE,34.23416225,-118.5581853,0
ACADEMY FOR SALON PROFESSIONALS-SANTA CLARA,37.35201226,-121.9631034,0
ACADEMY OF ART UNIVERSITY,37.78774753,-122.4006856,0
ACADEMY OF CAREER TRAINING,28.30609156,-81.43956927,0
ACADEMY OF CAREERS AND TECHNOLOGY,37.799775,-81.168609,0
ACADEMY OF CHINESE CULTURE AND HEALTH SCIENCES,37.80597591,-122.2698274,0
ACADEMY OF COSMETOLOGY AND ESTHETICS,37.8375,-94.375701,0
ACADEMY OF COSMETOLOGY AND ESTHETICS NYC,40.57323571,-74.11451673,0
ACADEMY OF COSMETOLOGY-BOZEMAN,45.6805045,-111.0397683,0
ACADEMY OF COSMETOLOGY-JANESVILLE,42.67970467,-89.04896089,0
ACADEMY OF COSMETOLOGY-MERRITT ISLAND,28.39405294,-80.70372003,0
ACADEMY OF ESTHETICS AND COSMETOLOGY,34.28486799,-118.4440382,0
ACADEMY OF HAIR DESIGN-BEAUMONT,30.068432,-94.121696,0
ACADEMY OF HAIR DESIGN-GRENADA,33.77482498,-89.82505258,0
ACADEMY OF HAIR DESIGN-JACKSON,32.2826464,-90.21051679,0
ACADEMY OF HAIR DESIGN-JASPER,30.907897,-94.00658539,0
ACADEMY OF HAIR DESIGN-LAS VEGAS,36.15850465,-115.2105043,0
ACADEMY OF HAIR DESIGN-LUFKIN,31.33183715,-94.71853711,0
ACADEMY OF HAIR DESIGN-OKLAHOMA CITY,35.591351,-97.566146,0
ACADEMY OF HAIR DESIGN-PEARL,32.2819833,-90.11512898,0
ACADEMY OF HAIR DESIGN-SALEM,44.94161595,-123.0396682,0
ACADEMY OF HAIR DESIGN-SPRINGFIELD,37.18047912,-93.26140468,0
ACADEMY OF HAIR TECHNOLOGY,34.87412533,-82.32790908,0
ACADEMY OF INTERACTIVE ENTERTAINMENT-LAFAYETTE,30.22006711,-92.04324679,0
ACADEMY OF INTERACTIVE ENTERTAINMENT-SEATTLE,47.62121636,-122.3511512,0
ACADEMY OF MASSAGE AND BODYWORK,39.62865662,-75.66726525,0
ACADEMY OF NATURAL THERAPY INC,40.426281,-104.691,0
ACADEMY OF PROFESSIONAL COSMETOLOGY,36.35535431,-94.15750292,0
ACADEMY OF SALON AND SPA,35.38053628,-94.41608484,0
ACADEMY OF SALON PROFESSIONALS,38.69072866,-93.25155948,0
ACADEMY OF VOCAL ARTS,39.94786312,-75.17368297,0
ACAYDIA SCHOOL OF AESTHETICS,40.23481311,-111.6583163,0
ACCESS CAREERS,40.70952518,-73.6152933,0
ACE COSMETOLOGY AND BARBER TRAINING CENTER,41.59407497,-72.98736797,0
ACE INSTITUTE OF TECHNOLOGY,40.75366867,-73.99334558,0
ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE-BERKELEY,37.86275352,-122.2676358,0
ACUPUNCTURE AND MASSAGE COLLEGE,25.68643721,-80.3641191,0
ADAMS STATE UNIVERSITY,37.47605322,-105.8809429,0
ADELPHI UNIVERSITY,40.721439,-73.653321,0
ADIRONDACK BEAUTY SCHOOL,43.31825292,-73.63301172,0
ADIRONDACK COMMUNITY COLLEGE,43.35406764,-73.65517793,0
ADLER GRADUATE SCHOOL,44.86286471,-93.252532,0
ADLER UNIVERSITY,41.886628,-87.625655,0
ADRIAN COLLEGE,41.89862772,-84.0599112,0
ADRIAN'S COLLEGE OF BEAUTY TURLOCK,37.49144763,-120.8637836,0
ADULT AND COMMUNITY EDUCATION-HUDSON,40.01275772,-82.98051769,0
ADULT AND CONTINUING EDUCATION-BCTS,40.90214102,-74.03438977,0
ADVANCE BEAUTY COLLEGE,33.75986918,-117.9525844,0
ADVANCE BEAUTY TECHS ACADEMY,33.884141,-117.517516,0
ADVANCE SCIENCE COLLEGE,25.85559755,-80.30698855,0
ADVANCED BARBER COLLEGE AND HAIR DESIGN,26.13154273,-97.95824745,0
ADVANCED BEAUTY COLLEGE,32.85976618,-96.99266858,0
ADVANCED CAREER INSTITUTE,36.34171776,-119.3818749,0
ADVANCED COLLEGE,33.91538258,-118.1579396,0
ADVANCED COLLEGE OF COSMETOLOGY,43.63284462,-88.73618504,0
ADVANCED COLLEGE-STOCKTON,38.0255456,-121.2945655,0
ADVANCED COMPUTING INSTITUTE,34.06072718,-118.300346,0
ADVANCED INSTITUTE OF HAIR DESIGN-GLENDALE,43.12211368,-87.91510274,0
ADVANCED TECHNICAL CENTERS,25.80664546,-80.28710042,0
ADVANCED TECHNOLOGY INSTITUTE,36.84136429,-76.18225107,0
ADVANCED TRAINING ASSOCIATES,32.81902257,-116.981781,0
ADVANCED TRAINING INSTITUTE,36.09596759,-115.2068373,0
ADVANCED WELDING INSTITUTE,44.45587979,-73.13943654,0
ADVANTAGE TECHNICAL COLLEGE,18.42804895,-66.49308398,0
ADVENTIST UNIVERSITY OF HEALTH SCIENCES,28.57614169,-81.36768715,0
ADVERTISING ART EDUCATIONAL SERVICES DBA SCHOOL OF ADVERTISING ART,39.6813053,-84.13426862,0
AESTHETIC SCIENCE INSTITUTE,42.761904,-73.794885,0
AESTHETICS INSTITUTE OF COSMETOLOGY,39.15332411,-77.20391467,0
AESTHETICS INSTITUTE OF COSMETOLOGY - WINCHESTER,39.18750253,-78.14655339,0
AGNES SCOTT COLLEGE,33.76929104,-84.29542845,0
